Photo_Name,lumMean_UV_CLAW,lumSD_UV_CLAW,area_CLAW,maxPower_CLAW,maxFreq_CLAW,propPower_CLAW,sumPower_CLAW,meanPower_CLAW,powerSD_CLAW,G_Mean_CLAW,G_SD_CLAW,B_Mean_CLAW,B_SD_CLAW,UVB_Mean_CLAW,UVB_SD_CLAW,UVR_Mean_CLAW,UVR_SD_CLAW,Comb_UVB_UVR_Mean,UVB_UVR_div2
AR21A38,9.604,0.199,492,40.49,100,0.217,186.162,31.027,8.84,38955.412,7957.862,51662.969,8872.058,15154.319,3003.823,17031.133,2993.845,32185.452,16092.726
AR21BL148,9.653,0.21,430,59.931,200,0.27,222.213,37.035,16.609,32001.426,7623.975,41055.495,9473.289,15957.892,3167.91,18880.007,2901.155,34837.899,17418.9495
AR22A26,9.337,0.165,365,78.555,50,0.202,389.334,64.889,13.06,35953.269,6733.448,41025.41,7897.544,11530.806,1892.201,18501.656,2518.291,30032.462,15016.231
AR22A53,9.702,0.215,214,115.879,50,0.318,364.026,60.671,38.251,19758.64,5348.641,20242.367,7791.842,16771.102,3536.502,22828.242,3633.446,39599.344,19799.672
AR23B16,9.258,0.231,390,114.514,141.421,0.242,473.3,78.883,27.171,31242.333,8301.836,44858.265,11080.692,10808.407,2531.49,12271.227,2449.626,23079.634,11539.817
AR23B288,9.607,0.314,386,18.519,200,0.2,92.442,15.407,2.453,31039.836,10442.85,42073.12,11036.312,15650.822,4650.966,17596.955,4661.659,33247.777,16623.8885
AR23B326,9.479,0.239,317,15.964,200,0.23,69.381,11.564,3.294,36297.128,9768.351,56256.208,17426.737,13491.954,3094.486,16348.542,4554.913,29840.496,14920.248
AR24BL18,9.445,0.329,394,28.011,200,0.248,112.748,18.791,7.763,30607.824,6647.502,50390.295,13509.325,13396.727,4434.664,16106.799,6107.698,29503.526,14751.763
AR24BL26,9.58,0.311,356,18.022,200,0.196,92.043,15.341,2.002,42215.667,9420.402,57164.204,9757.73,15231.791,4893.615,16357.131,4798.523,31588.922,15794.461
AR24BL78,9.835,0.221,432,39.889,200,0.233,171.416,28.569,9.84,44440.481,10124.818,63912.634,11724.457,19134.672,3876.814,21775.094,3704.471,40909.766,20454.883
AR25A16,9.458,0.222,385,36.338,200,0.241,150.902,25.15,7.545,31205.269,6269.894,42646.567,6755.513,13165.263,2957.94,14687.281,3030.066,27852.544,13926.272
AR25A328,9.427,0.378,499,117.678,70.711,0.28,420.584,70.097,46.401,33450.127,8848.257,48945.749,12984.521,13320.402,4597.358,14941.823,4771.681,28262.225,14131.1125
AR25A368,9.351,0.278,442,19.13,70.711,0.202,94.728,15.788,2.981,25586.47,3657.365,40457.21,7578.185,12000.313,3268.045,14110.408,4025.683,26110.721,13055.3605
AR25A63,9.131,0.4,264,26.12,50,0.265,98.501,16.417,6.703,17970.302,6273.633,25995.767,13889.676,10024.271,3800.661,11664.97,5043.324,21689.241,10844.6205
AR25B38,9.479,0.197,410,113.352,200,0.204,556.865,92.811,17.97,30878.598,7230.87,44641.497,9246.611,13374.546,2666.686,14030.085,2426.228,27404.631,13702.3155
AR26A38,9.589,0.243,426,42.404,70.711,0.288,147.175,24.529,15.061,36631.736,6319.612,48473.06,6766.971,15099.533,3933.989,15984.845,3621.63,31084.378,15542.189
AR26B238,9.838,0.287,486,22.222,50,0.272,81.796,13.633,5.669,44322.994,9963.649,60454.61,13231.048,19590.117,5994.177,22731.32,6754.224,42321.437,21160.7185
AR28B156,9.624,0.211,403,71.647,200,0.283,253.193,42.199,18.714,31816.15,6257.493,39587.67,8056.148,15525.025,3119.84,19631.993,3342.4,35157.018,17578.509
AR28B166,9.172,0.241,418,51.174,70.711,0.207,247.482,41.247,9.202,29684.362,5224.292,38932.076,8924.142,9943.221,2319.62,12286.509,2520.963,22229.73,11114.865
AR28B183,9.328,0.236,311,51.211,200,0.237,216.15,36.025,10.267,31386.915,7486.325,35121.287,12099.859,11645.845,2823.764,15080.862,3399.609,26726.707,13363.3535
AR28B38,10.014,0.282,460,71.107,200,0.321,221.717,36.953,24.153,33511.564,11020.982,41382.408,13286.562,23261.744,6403.389,29159.772,6402.808,52421.516,26210.758
AR28B98,9.53,0.185,454,74.239,200,0.314,236.237,39.373,22.394,25241.624,6790.29,30492.229,7055.601,14044.542,2627.106,16948.267,2659.047,30992.809,15496.4045
AR29A103,9.513,0.267,243,84.44,50,0.281,299.977,49.996,31.909,35998.042,4850.605,37163.086,7195.038,14076.517,3683.435,16676.277,3655.227,30752.794,15376.397
AR29A58,9.673,0.28,443,130.793,141.421,0.229,572.242,95.374,29.069,43405.99,7644.414,54150.417,8760.761,16465.063,3831.678,18176.674,3875.47,34641.737,17320.8685
AR29A83,9.362,0.219,227,17.276,100,0.273,63.195,10.533,4.764,25157.837,4204.336,25974.869,7615.102,11980.528,2479.28,13511.3,2224.685,25491.828,12745.914
AR30A133,9.327,0.254,293,37.302,50,0.316,117.916,19.653,11.592,25357.436,5522.931,29208.389,10264.027,11688.945,3072.916,13394.654,3300.286,25083.599,12541.7995
AR30A228,9.144,0.373,483,112.88,70.711,0.288,391.486,65.248,44.578,23413.301,6733.507,39085.719,13332.992,10007.834,3328.915,10775.771,4031.025,20783.605,10391.8025
AR30A258,9.351,0.374,461,112.12,70.711,0.285,393.948,65.658,44.8,36561.141,9899.985,53169.24,14883.771,12339.185,4277.949,14000.125,4349.364,26339.31,13169.655
AR30A96,9.552,0.271,428,28.904,141.421,0.241,120.15,20.025,6.203,32721.855,6199.46,47887.186,9805.493,14581.69,3586.861,15838.733,4136.346,30420.423,15210.2115
AR31A26,9.481,0.22,392,52.338,70.711,0.274,190.736,31.789,19.472,29862.712,7083.673,43165.287,11182.216,13454.306,2913.884,14697.753,3525.614,28152.059,14076.0295
AR31B298,9.298,0.339,454,125.11,100,0.206,606.833,101.139,22.294,25507.578,7155.659,36836.8,10754.058,11559.385,3671.399,13215.239,3679.653,24774.624,12387.312
AR31B328,9.83,0.31,442,99.009,50,0.22,450.675,75.112,23.253,31955.174,7147.9,42428.294,8739.68,19484.562,5606.363,22799.518,5532.218,42284.08,21142.04
AR31BL16,9.353,0.297,344,213.714,70.711,0.265,807.265,134.544,69.452,32851.765,11788.129,44369.077,13824.248,12076.597,3448.842,13857.847,3503.313,25934.444,12967.222
AR31BL56,9.563,0.383,327,186.385,50,0.245,761.17,126.862,51.965,29671.541,8464.652,44136.653,12855.507,15237.666,5121.743,17877.784,5483.361,33115.45,16557.725
AR32A16,9.461,0.294,383,43.716,141.421,0.227,192.677,32.113,9.053,41771.47,8534.783,51545.984,10157.673,13472.645,3957.558,15162.304,3671.576,28634.949,14317.4745
AR32A63,9.363,0.22,315,27.883,200,0.223,124.978,20.83,6.893,34298.279,3777.586,39374.626,5532.279,11970.497,2645.378,13260.639,2144.393,25231.136,12615.568
AR33A26,9.846,0.296,378,40.875,100,0.226,180.474,30.079,10.246,41411.427,7266.937,55524.679,9530.566,19706.664,5317.718,22206.053,5740.452,41912.717,20956.3585
AR33A93,9.612,0.263,270,28,100,0.235,119.269,19.878,7.327,44629.485,6988.761,49379.05,7245.55,15513.033,3747.753,17571.081,3492.706,33084.114,16542.057
AR34A188,9.763,0.246,457,25.755,282.843,0.226,113.85,18.975,4.402,44156.623,8608.056,57236.578,11679.834,17931.672,3936.527,19915.839,4044.977,37847.511,18923.7555
AR34A216,9.349,0.26,411,23.666,50,0.277,85.487,14.248,5.92,40198.006,6994.91,54862.632,10905.571,11901.592,2937.864,12189.875,2881.025,24091.467,12045.7335
AR34A263,9.611,0.276,260,8.564,50,0.217,39.383,6.564,1.643,36109.356,10189.847,38895.493,12041.749,15566.147,4174.632,16875.663,3892.854,32441.81,16220.905
AR34B228,9.661,0.291,373,156.204,50,0.216,722.479,120.413,30.944,40886.323,11404.771,57919.412,15984.128,16442.452,4850.353,19623.848,6082.837,36066.3,18033.15
AR34B248,9.676,0.198,333,138.034,50,0.217,636.946,106.158,29.251,44217.002,9830.57,59600.772,10590.824,16318.583,3253.572,19673.601,3190.541,35992.184,17996.092
AR34BL16,9.148,0.266,169,141.164,50,0.351,401.883,66.981,49.307,23195.857,8373.327,31619.102,6805.25,9776.246,2494.945,11335.857,2264.332,21112.103,10556.0515
AR35B33,9.341,0.275,298,76.608,141.421,0.209,366.286,61.048,12.566,26672.243,9455.644,25829.773,10851.177,11869.13,3143.078,13304.961,2753.352,25174.091,12587.0455
AR35BL106,9.537,0.248,407,14.88,282.843,0.199,74.754,12.459,2.547,46155.227,7791.542,59499.474,9212.016,14316.629,3168.824,16914.416,2878.69,31231.045,15615.5225
AR35BL123,9.42,0.224,330,18.86,282.843,0.306,61.677,10.279,5.875,41561.391,8209.658,47743.689,9305.323,12716.108,2843.951,14822.96,2540.025,27539.068,13769.534
AR35BL133,9.156,0.193,289,24.082,50,0.352,68.511,11.418,6.956,26128.201,6088.996,32953.02,13304.503,9675.517,1838.394,10564.961,2995.158,20240.478,10120.239
AR35BL28,9.605,0.241,447,18.218,50,0.242,75.129,12.521,4.379,35533.067,7916.481,47001.662,9404.515,15278.15,3375.09,16919.052,3255.827,32197.202,16098.601
AR35BL58,9.79,0.289,379,20.86,282.843,0.229,90.944,15.157,4.116,37053.449,10337.012,55679.432,12967.23,18610.337,4884.448,21399.464,5921.012,40009.801,20004.9005
BC11A36,9.786,0.324,436,60.927,200,0.201,302.819,50.47,7.358,37049.064,10909.25,48996.728,16259.574,18650.5,5025.936,23095.364,5522.888,41745.864,20872.932
BC11A53,9.537,0.264,291,99.719,141.421,0.249,400.425,66.738,26.859,27652.286,6001.752,33582.977,9109.013,14402.163,3675.333,17775.325,4183.612,32177.488,16088.744
BC14B33,9.303,0.162,302,12.371,100,0.207,59.884,9.981,2.256,29789.964,13064.353,40274.464,16556.647,11145.813,1812.649,12173.544,2510.241,23319.357,11659.6785
BC17A103,9.571,0.27,247,27.368,100,0.202,135.562,22.594,3.771,31545.69,7941.698,33509.323,10113.812,14910.599,3757.094,19724.33,4265.724,34634.929,17317.4645
BC17A86,9.555,0.31,337,24.241,141.421,0.208,116.5,19.417,4.767,32707.616,11685.237,37333.699,14195.984,14781.193,4017.416,18456.451,3606.788,33237.644,16618.822
BC18A103,9.455,0.206,235,146.154,50,0.259,565.158,94.193,52.044,40421.762,13769.016,44164.828,14565.235,13078.599,2625.909,16135.78,2492.039,29214.379,14607.1895
BC18A68,9.554,0.182,370,138.861,50,0.373,372.384,62.064,54.563,20942.74,7871.704,29831.167,11943.37,14348.08,2435.308,15799.197,2446.801,30147.277,15073.6385
BC18A96,9.408,0.189,324,78.413,50,0.341,230.264,38.377,31.943,28135.304,10390.83,37890.307,13503.775,12417.078,2274.249,13556.455,2587.742,25973.533,12986.7665
BC18B16,9.326,0.215,305,16.32,282.843,0.254,64.133,10.689,4.806,19278.933,3708.889,30024.776,8970.71,11520.224,2332.389,13399.849,3160.396,24920.073,12460.0365
BC18B23,9.346,0.227,251,17.538,50,0.311,56.339,9.39,4.113,30438.808,7409.269,34233.596,8278.098,11793.388,2606.773,14363.161,2106.75,26156.549,13078.2745
BC19A38,9.947,0.213,370,35.979,282.843,0.327,110.11,18.352,12.183,31358.525,9765.313,46862.222,15773.575,21401.121,4626.1,22960.381,4611.207,44361.502,22180.751
BC19A76,9.657,0.166,276,26.421,141.421,0.199,133.049,22.175,4.143,30589.896,9303.135,40842.595,13144.205,15862.857,2596.138,17597.545,3380.097,33460.402,16730.201
BC1A16,9.338,0.266,391,37.607,141.421,0.249,150.924,25.154,10.647,33179.692,12386.523,43642.851,14916.687,11768.271,2869.911,13418.83,2782.948,25187.101,12593.5505
BC1A38,9.869,0.214,481,165.465,282.843,0.3,552.219,92.036,40.724,37080.644,10754.021,48718.249,14956.371,19797.161,4141.695,22319.929,3497.62,42117.09,21058.545
BC1A76,9.515,0.371,403,42.663,282.843,0.253,168.451,28.075,11.686,39273.348,11622.316,50542.545,14225.846,14490.408,4795.619,16025.822,5302.3,30516.23,15258.115
BC1A93,9.458,0.226,313,22.797,282.843,0.237,96.276,16.046,4.308,35124.834,11549.956,39272.49,12562.084,13172.414,2918.66,15288.549,2559.281,28460.963,14230.4815
BC21A13,9.107,0.268,248,32.636,100,0.263,124.252,20.709,9.933,17077.681,4173.245,23727.742,8536.017,9356.027,2195.973,10412.615,2309.795,19768.642,9884.321
BC21A96,9.422,0.235,344,250.882,50,0.255,982.415,163.736,74.998,40975.538,11764.493,48958.125,14915.484,12713.03,2773.907,15941.801,2459.484,28654.831,14327.4155
BC21B13,9.382,0.265,307,12.629,50,0.329,38.393,6.399,3.176,26496.003,8168.284,33188.155,11859.863,12333.136,3005.134,14588.368,3209.244,26921.504,13460.752
BC21B66,9.707,0.26,358,23.676,50,0.359,65.93,10.988,6.46,28478.81,9155.966,38380.338,12782.97,16982.105,3948.933,20325.85,3464.757,37307.955,18653.9775
BC22B116,9.666,0.222,327,27.706,141.421,0.244,113.461,18.91,6.345,44135.384,10679.886,56374.173,14331.108,16208.597,3602.19,18815.755,3664.702,35024.352,17512.176
BC22B133,9.375,0.266,260,22.034,141.421,0.243,90.634,15.106,5.259,20682.999,6439.554,28606.239,13559.391,12264.37,3330.321,14342.934,4680.576,26607.304,13303.652
BC22B88,9.74,0.222,389,44.426,141.421,0.213,208.542,34.757,8.726,40751.329,11105.274,51801.404,14273.817,17401.333,3292.004,19022.201,2852.397,36423.534,18211.767
BC24A13,9.414,0.241,255,228.756,100,0.273,838.351,139.725,80.696,26946.658,7483.275,30012.613,8943.806,12665.924,3018.266,15943.494,3469.628,28609.418,14304.709
BC25A16,9.476,0.239,421,76.241,282.843,0.308,247.552,41.259,22.857,31408.107,11719.986,44773.217,17939.021,13465.934,2984.979,16506.366,2905.125,29972.3,14986.15
BC25A33,9.51,0.288,348,20.866,282.843,0.251,83.162,13.86,5.732,24545.069,6888.623,32858.518,15253.55,14089.417,3852.217,16387.095,5438.844,30476.512,15238.256
BC25B26,9.478,0.237,281,27.704,141.421,0.307,90.312,15.052,8.167,21305.574,6344.585,23608.113,7347.426,13468.239,2991.762,17716.71,3496.487,31184.949,15592.4745
BC26B23,9.229,0.226,206,51.477,50,0.353,145.717,24.286,19.877,24170.348,8004.618,23324.344,7363.086,10495.31,2170.319,13002.416,1948.044,23497.726,11748.863
BC27A16,9.295,0.261,396,39.536,141.421,0.251,157.333,26.222,11.65,33791.866,12030.214,44608.53,14250.468,11262.038,2729.836,13025.322,2560.899,24287.36,12143.68
BC27A43,9.396,0.249,333,9.228,100,0.209,44.256,7.376,1.698,27291.927,6471.958,32900.352,8980.444,12460.253,2972.445,16205.261,3062.519,28665.514,14332.757
BC27B106,9.767,0.245,419,132.65,141.421,0.312,425.754,70.959,42.094,40556.049,14705.171,50951.58,18362.967,18000.739,4142.171,21868.054,3020.698,39868.793,19934.3965
BC27B48,9.639,0.218,434,68.194,200,0.258,264.497,44.083,20.529,27668.213,5706.152,36901.961,7619.504,15736.164,3349.29,17411.142,3336.161,33147.306,16573.653
BC27B66,9.788,0.213,363,78.825,100,0.248,317.697,52.949,20.442,46574.882,12225.425,55178.543,14406.373,18258.644,3652.801,20674.913,3603.28,38933.557,19466.7785
BC28A28,9.586,0.241,475,80.95,100,0.228,354.783,59.131,18.579,35359.417,14953.047,44042.176,17368.665,14999.3,3346.531,16073.716,2885.316,31073.016,15536.508
BC29B16,9.623,0.198,343,11.383,50,0.23,49.493,8.249,2.237,36953.561,11201.917,46160.27,13955.462,15438.095,2976.395,16239.311,2444.728,31677.406,15838.703
BC2A26,9.264,0.271,404,61.25,200,0.235,261.188,43.531,16.564,30707.192,10177.071,41690.807,14030.552,10991.32,3058.622,12894.44,3663.39,23885.76,11942.88
BC2A43_,9.622,0.248,335,31.232,50,0.222,140.388,23.398,5.556,22500.748,8441.107,25513.464,10887.672,15633.68,3875.237,18033.113,4040.164,33666.793,16833.3965
BC2B10L33,9.212,0.277,239,220.854,50,0.316,699.789,116.632,79.858,26530.455,7975.004,32245.805,13303.761,10455.849,2854.066,12504.628,3704.855,22960.477,11480.2385
BC2B66,9.507,0.318,415,87.158,100,0.223,390.155,65.026,16.56,41352.131,14061.773,54339.849,18269.311,14134.464,3939.371,16169.433,4889.149,30303.897,15151.9485
BC32B66,9.497,0.254,424,23.531,282.843,0.208,113.059,18.843,2.893,19189.916,6099.662,29468.403,13653.337,13733.216,3011.541,15399.237,2863.61,29132.453,14566.2265
BC32B76,9.651,0.182,360,23.483,50,0.22,106.661,17.777,4.903,20097.043,5055.121,25496.506,8089.173,15832.783,2641.654,19215.856,2559.773,35048.639,17524.3195
BC36A28,9.873,0.234,407,93.577,141.421,0.222,420.865,70.144,18.547,46228.463,14965.121,57544.453,17991.774,19908.867,3929.24,23153.877,3884.807,43062.744,21531.372
BC36A38,9.665,0.293,402,49.675,200,0.19,262.054,43.676,5.089,41340.874,14302.891,53432.612,17737.595,16382.842,4041.575,18485.259,4827.147,34868.101,17434.0505
BC36A76,9.746,0.219,333,30.086,70.711,0.223,134.992,22.499,5.799,47400.09,18179.487,52036.124,20069.994,17499.76,3445.343,20909.054,3454.289,38408.814,19204.407
BC36A93,9.56,0.282,284,68.42,50,0.201,341.181,56.863,14.864,48907.228,15998.579,52521.722,16666.43,14754.331,3643.361,18476.286,3446.272,33230.617,16615.3085
BC36B16,9.337,0.265,265,39.01,141.421,0.337,115.608,19.268,12.96,31046.135,15304.931,34934.217,16682.431,11781.547,3067.524,14210.917,3183.001,25992.464,12996.232
BC42B106,9.359,0.408,413,131.527,50,0.304,432.329,72.055,53.349,32040.566,15961.783,38425.046,19145.302,12535.371,4450.35,13672.145,4266.907,26207.516,13103.758
BC42B123,9.383,0.213,386,55.628,50,0.382,145.613,24.269,17.567,21038.52,9769.115,23309.355,11601.166,12165.698,2394.208,13808.651,2484.612,25974.349,12987.1745
BC42B46,9.138,0.382,346,52.186,282.843,0.233,224.178,37.363,10.619,29217.994,11902.961,35973.288,14109.664,10024.268,3851.702,11303.197,3663.256,21327.465,10663.7325
BC42B63,9.575,0.237,301,36.309,282.843,0.241,150.86,25.143,9.107,20733.591,6980.083,17933.107,5776.387,14868.455,3355.224,16350.795,2925.001,31219.25,15609.625
BC5B16,9.444,0.243,318,24.516,282.843,0.296,82.863,13.81,6.093,28026.736,10804.076,34066.04,12278.895,13030.783,2988.221,15427.722,3985.725,28458.505,14229.2525
BC5B43,9.361,0.229,297,185.85,70.711,0.275,676.331,112.722,66.636,27684.029,8324.655,32098.131,11070.807,11970.741,2609.858,13615.369,2335.465,25586.11,12793.055
BC6A16,9.467,0.212,345,22.366,70.711,0.197,113.305,18.884,2.532,33175.143,13505.296,41357.272,17451.302,13261.722,2714.91,16391.176,3130.229,29652.898,14826.449
BC6B53,9.08,0.23,332,24.408,282.843,0.211,115.796,19.299,4.884,29843.696,13763.16,34779.506,15376.128,9041.806,1983.479,10729.189,1866.325,19770.995,9885.4975
DC2A98,9.322,0.255,366,61.403,141.421,0.242,253.856,42.309,13.052,19839.578,3273.035,31919.358,7327.273,11583.5,2854.842,12902.418,2615.725,24485.918,12242.959
DC7A206,9.54,0.249,272,11.871,50,0.277,42.805,7.134,5.007,32841.537,5559.933,37141.082,6760.467,14405.054,3659.182,17468.649,3320.056,31873.703,15936.8515
EC10A318,9.257,0.209,319,164.325,100,0.288,571.381,95.23,57.792,39536.898,13315.084,55741.472,18266.788,10758.348,2261.669,12707.403,2254.09,23465.751,11732.8755
EC13A333,9.41,0.227,246,107.676,100,0.322,334.433,55.739,36.547,31537.823,11638.299,44909.307,14687.644,12608.193,2827.435,14332.667,2685.085,26940.86,13470.43
EC14AL18,9.424,0.251,335,126.341,100,0.293,431.367,71.895,40.743,35819.425,10915.088,53351.719,16579.443,12804.972,3034.94,14366.645,2973.849,27171.617,13585.8085
EC14AL28,9.908,0.238,353,71.134,282.843,0.377,188.577,31.43,21.058,46228.292,12254.001,65122.759,17043.368,20692.095,4806.172,23196.614,5197.181,43888.709,21944.3545
EC6ALQ18,8.913,0.285,207,43.178,141.421,0.29,148.83,24.805,14.3,46200.751,11905.625,56998.371,13400.095,7764.562,2089.112,8277.429,1957.525,16041.991,8020.9955
EC7A218,9.669,0.216,416,79.948,282.843,0.238,335.52,55.92,21.494,49967.643,13368.373,64250.435,17175.758,16219.301,3428.503,17099.052,3512.032,33318.353,16659.1765
EC7A403,9.897,0.159,199,99.675,100,0.33,302.255,50.376,36.311,37698.029,6004.377,46340.287,6751.645,20248.648,3108.43,26274.583,3856.33,46523.231,23261.6155
EC8A278,9.992,0.259,279,140.263,100,0.32,438.69,73.115,47.668,31212.314,6911.078,47118.229,10521.347,22646.823,5726.413,28224.372,7036.768,50871.195,25435.5975
GP11A168,9.643,0.213,459,14.82,282.843,0.204,72.469,12.078,2.195,21757.049,6143.144,28025.077,7407.156,15791.04,3182.03,20745.63,2987.225,36536.67,18268.335
GP19A7L46,9.434,0.24,311,30.107,100,0.2,150.378,25.063,4.128,21526.589,6770.571,27951.872,8861.113,12868.509,2752.976,14350.992,2822.386,27219.501,13609.7505
GP19A8L38,9.443,0.245,288,28.874,100,0.201,143.327,23.888,4.178,22131.293,7126.528,28266.915,9305.327,13007.318,2993.979,14624.439,2716.221,27631.757,13815.8785
GP22A218,8.776,0.2,328,9.58,70.711,0.195,49.006,8.168,1.278,9993.363,3220.259,13472.199,4483.486,6625.081,1282.24,6955.576,1244.93,13580.657,6790.3285
GP33A148,9.295,0.232,333,30.489,100,0.197,155.113,25.852,3.904,20065.457,7345.241,29742.195,10846.606,11206.245,2535.348,12893.795,2394.888,24100.04,12050.02
GP33A166,9.51,0.202,259,24.414,70.711,0.239,102.108,17.018,5.476,34398.471,10553.981,46557.224,14246.68,13803.259,2747.477,15701.263,2717.346,29504.522,14752.261
GP44A198,9.47,0.259,381,15.148,50,0.23,65.835,10.972,2.735,19401.089,5375.875,29773.656,9496.98,13430.687,3460.449,14847.831,4025.65,28278.518,14139.259
GP44A2L36,9.497,0.277,286,10.186,50,0.247,41.189,6.865,2.159,32805.642,13771.288,47430.471,18723.677,13857.3,3493.911,16519.426,3973.024,30376.726,15188.363
GP44A8L48,9.493,0.254,303,32.619,100,0.208,157.176,26.196,7.629,23866.724,8292.4,33054.758,12929.159,13695.851,3051.709,15908.207,3020.654,29604.058,14802.029
GP51B2L103,9.284,0.216,248,24.332,141.421,0.249,97.626,16.271,7.956,17824.725,5539.432,25880.123,7062.719,11047.951,2328.01,15582.699,2877.691,26630.65,13315.325
GP52A18,8.967,0.344,408,10.495,282.843,0.221,47.507,7.918,1.472,15254.492,5992.073,20387.474,8252.174,8283.908,2460.203,10081.128,2611.207,18365.036,9182.518
GP52A46,8.925,0.246,363,9.01,50,0.202,44.522,7.42,1.442,8629.829,2854.382,13275.156,5185.854,7759.481,1861.166,8941.381,2476.157,16700.862,8350.431
MC1BL16,9.479,0.197,272,193.927,50,0.28,692.991,115.499,64.224,45376.594,16385.152,56664.908,18883.044,13416.247,2555.149,16581.472,2584.471,29997.719,14998.8595
MC2BL16,9.588,0.22,343,148.455,50,0.279,533.017,88.836,54.074,36963.576,10317.041,48953.833,13873.044,15003.346,3439.897,17317.31,3719.602,32320.656,16160.328
MC2BL48,9.851,0.277,356,147.051,70.711,0.249,591.118,98.52,44.808,34700.388,11154.493,48671.608,14203.268,19775.004,5116.183,22217.438,4623.914,41992.442,20996.221
MC2BL68,9.674,0.213,346,195.469,70.711,0.248,788.874,131.479,56.607,34191.121,9784.289,50359.423,15738.822,16313.313,3302.492,19153.801,3759.529,35467.114,17733.557
MC2BL76,9.386,0.205,319,188.835,70.711,0.303,622.426,103.738,69.436,32474.08,11907.984,46922.65,16537.788,12231.27,2470.82,14132.595,2983.923,26363.865,13181.9325
MC2BL83,9.667,0.318,225,242.101,70.711,0.312,774.861,129.144,95.837,35227.057,11439.656,50560.583,17140.256,16744.311,5720.661,20160.042,5770.945,36904.353,18452.1765
MC9BL196,9.851,0.293,304,176.676,70.711,0.31,569.96,94.993,71.993,42769.933,12195.855,60386.498,15937.646,19839.647,5497.565,23795.54,5172.651,43635.187,21817.5935
MC9BL203,9.654,0.194,195,238.033,70.711,0.329,722.929,120.488,95.007,25084.524,10798.588,33438.675,10832.42,15957.472,3048.609,18871.868,3104.302,34829.34,17414.67
WD10B136,9.367,0.235,426,20.906,200,0.281,74.452,12.409,6.162,27857.771,7882.867,31553.016,9195.111,12024.953,2650.442,16081.656,2747.576,28106.609,14053.3045
WD10B98,9.728,0.301,517,54.678,200,0.208,262.417,43.736,10.881,37411.623,13753.722,43689.839,15060.608,17452.538,4224.531,22599.731,4581.975,40052.269,20026.1345
WD17A18,9.928,0.161,383,74.702,200,0.199,374.793,62.466,10.028,55391.674,13972.555,70417.928,21676.148,20787.247,3144.575,28323.077,3198.023,49110.324,24555.162
WD17A46,9.939,0.192,335,35.068,70.711,0.216,162.126,27.021,7.411,35819.264,11630.302,45289.927,15739.331,21136.959,3878.954,23235.361,3397.666,44372.32,22186.16
WD21A126,9.471,0.177,405,29.958,141.421,0.274,109.438,18.24,8.592,26431.942,6629.144,30885.139,8208.326,13205.089,2255.63,17902.919,1849.7,31108.008,15554.004
WD21A136,9.49,0.38,391,27.952,141.421,0.27,103.532,17.255,7.968,25714.074,8398.269,31121.111,11464.28,14093.082,4273.15,19292.924,4783.157,33386.006,16693.003
WD21A153,9.171,0.224,358,39.889,50,0.279,143.006,23.834,12.482,11497.14,2415.624,14479.331,5175.743,9888.76,2253.126,13460.587,2492.858,23349.347,11674.6735
WD21A88,9.312,0.285,442,69.734,100,0.214,326.583,54.43,9.929,21371.209,8174.355,25767.635,10252.167,11493.13,2743.682,15342.251,3081.347,26835.381,13417.6905
WD21A98,9.443,0.169,478,67.791,200,0.208,325.387,54.231,11.542,25501.986,7102.14,30716.002,8244.695,12809.101,1947.395,17495.823,1743.932,30304.924,15152.462
WD26A116,9.559,0.353,389,52.307,70.711,0.342,152.965,25.494,19.82,23293.437,4376.353,32664.972,7496.369,15012.116,4694.258,15274.534,3866.612,30286.65,15143.325
WD26A133,9.694,0.288,317,83.47,70.711,0.318,262.224,43.704,31.524,31556.812,6894.561,36345.196,9169.37,16876.654,4327.241,19207.155,4040.636,36083.809,18041.9045
WD26A156,9.664,0.345,365,131.947,50,0.253,521.575,86.929,30.322,36271.489,8396.941,46884.036,11661.563,16659.126,5212.172,16850.809,5408.415,33509.935,16754.9675
WD26A163,9.841,0.247,274,79.193,50,0.23,344.318,57.386,17.438,29096.806,7771.165,34388.737,9440.833,19366.396,4383.268,20355.586,4091.888,39721.982,19860.991
WD26A48,9.876,0.302,410,57.403,70.711,0.353,162.827,27.138,22.058,28783.699,5468.38,37780.496,6822.912,20251.921,4954.014,22048.32,4391.748,42300.241,21150.1205
WD38B38,10.017,0.208,368,59.088,100,0.208,283.528,47.255,8.288,34351.64,10695.31,45917.49,16249.92,22898.727,4436.547,26443.808,4391.685,49342.535,24671.2675
WD38B66,9.678,0.203,331,61.928,100,0.219,283.044,47.174,10.979,28462.122,8043.774,34836.138,9633.444,16352.191,3272.949,19489.883,3120.809,35842.074,17921.037
WD40A148,9.78,0.234,458,28.936,141.421,0.252,114.785,19.131,7.781,32495.908,9031.044,39547.514,11104.504,18152.522,3939.363,24747.869,3399.906,42900.391,21450.1955
WD40A158,9.965,0.191,513,32.741,141.421,0.24,136.275,22.712,9.22,32823.5,10157.058,38761.075,11696.853,21688.75,4099.366,28062.372,4190.198,49751.122,24875.561
WD40A176,9.378,0.319,476,33.544,141.421,0.223,150.478,25.08,8.122,17680.292,5506.901,24632.347,7343.984,12403.71,3421.103,12397.224,2834.296,24800.934,12400.467
